2025-03-06 15:25:23,019 - INFO - Spiel gestartet. Starte Ball-Reset.
2025-03-06 15:25:24,033 - INFO - Game State: {'ball': [-0.27846273792563664, -0.20871632324032122], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,051 - INFO - Game State: {'ball': [-0.2832638196140097, -0.21231488053756814], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,069 - INFO - Game State: {'ball': [-0.28806490130238277, -0.21591343783481506], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,088 - INFO - Game State: {'ball': [-0.29286598299075584, -0.219511995132062], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,106 - INFO - Game State: {'ball': [-0.2976670646791289, -0.2231105524293089], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,123 - INFO - Game State: {'ball': [-0.30246814636750197, -0.22670910972655584], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,141 - INFO - Game State: {'ball': [-0.30726922805587503, -0.23030766702380276], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,159 - INFO - Game State: {'ball': [-0.3120703097442481, -0.23390622432104968], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,178 - INFO - Game State: {'ball': [-0.31687139143262116, -0.2375047816182966], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,196 - INFO - Game State: {'ball': [-0.32167247312099423, -0.24110333891554353], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,213 - INFO - Game State: {'ball': [-0.3264735548093673, -0.24470189621279045], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,230 - INFO - Game State: {'ball': [-0.33127463649774036, -0.24830045351003738], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,247 - INFO - Game State: {'ball': [-0.3360757181861134, -0.2518990108072843], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,265 - INFO - Game State: {'ball': [-0.3408767998744865, -0.25549756810453117], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,282 - INFO - Game State: {'ball': [-0.34567788156285956, -0.25909612540177807], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,299 - INFO - Game State: {'ball': [-0.3504789632512326, -0.26269468269902496], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,317 - INFO - Game State: {'ball': [-0.3552800449396057, -0.26629323999627186], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
2025-03-06 15:25:24,334 - INFO - Game State: {'ball': [-0.36008112662797875, -0.26989179729351875], 'player1': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 1'}, 'player2': {'paddle': {'top': -0.3, 'bottom': 0.3, 'center': 0.0}, 'score': 0, 'name': 'Player 2'}, 'game_active': True}
